service_id,date,exception_type
110-Saturday-1-DEC16-0000010,20170211,1
110-Sunday-1-DEC16-0000001,20170115,1
110-Sunday-1-DEC16-0000001,20170122,1
110-Sunday-1-DEC16-0000001,20170129,1
110-Sunday-1-DEC16-0000001,20170205,1
110-Weekday-1-DEC16-1111100,20170111,1
110-Weekday-1-DEC16-1111100,20170112,1
110-Weekday-1-DEC16-1111100,20170113,1
110-Weekday-1-DEC16-1111100,20170116,1
110-Weekday-1-DEC16-1111100,20170117,1
110-Weekday-1-DEC16-1111100,20170118,1
110-Weekday-1-DEC16-1111100,20170119,1
110-Weekday-1-DEC16-1111100,20170120,1
110-Weekday-1-DEC16-1111100,20170123,1
110-Weekday-1-DEC16-1111100,20170124,1
110-Weekday-1-DEC16-1111100,20170125,1
110-Weekday-1-DEC16-1111100,20170126,1
110-Weekday-1-DEC16-1111100,20170127,1
110-Weekday-1-DEC16-1111100,20170130,1
110-Weekday-1-DEC16-1111100,20170131,1
110-Weekday-1-DEC16-1111100,20170201,1
110-Weekday-1-DEC16-1111100,20170202,1
110-Weekday-1-DEC16-1111100,20170203,1
110-Weekday-1-DEC16-1111100,20170206,1
110-Weekday-1-DEC16-1111100,20170207,1
110-Weekday-1-DEC16-1111100,20170208,1
110-Weekday-1-DEC16-1111100,20170209,1
110-Weekday-1-DEC16-1111100,20170210,1
111-Saturday-1-DEC16-0000010,20170114,1
111-Saturday-1-DEC16-0000010,20170121,1
111-Saturday-1-DEC16-0000010,20170128,1
111-Saturday-1-DEC16-0000010,20170204,1
111-Saturday-1-DEC16-0000010,20170211,1
111-Weekday-1-DEC16-1111100,20170111,1
111-Weekday-1-DEC16-1111100,20170112,1
111-Weekday-1-DEC16-1111100,20170113,1
111-Weekday-1-DEC16-1111100,20170116,1
111-Weekday-1-DEC16-1111100,20170117,1
111-Weekday-1-DEC16-1111100,20170118,1
111-Weekday-1-DEC16-1111100,20170119,1
111-Weekday-1-DEC16-1111100,20170120,1
111-Weekday-1-DEC16-1111100,20170123,1
111-Weekday-1-DEC16-1111100,20170124,1
111-Weekday-1-DEC16-1111100,20170125,1
111-Weekday-1-DEC16-1111100,20170126,1
111-Weekday-1-DEC16-1111100,20170127,1
111-Weekday-1-DEC16-1111100,20170130,1
111-Weekday-1-DEC16-1111100,20170131,1
111-Weekday-1-DEC16-1111100,20170201,1
111-Weekday-1-DEC16-1111100,20170202,1
111-Weekday-1-DEC16-1111100,20170203,1
111-Weekday-1-DEC16-1111100,20170206,1
111-Weekday-1-DEC16-1111100,20170207,1
111-Weekday-1-DEC16-1111100,20170208,1
111-Weekday-1-DEC16-1111100,20170209,1
111-Weekday-1-DEC16-1111100,20170210,1
112-Saturday-1-DEC16-0000010,20170114,1
112-Saturday-1-DEC16-0000010,20170121,1
112-Saturday-1-DEC16-0000010,20170128,1
112-Saturday-1-DEC16-0000010,20170204,1
112-Saturday-1-DEC16-0000010,20170211,1
112-Weekday-1-DEC16-1111100,20170111,1
112-Weekday-1-DEC16-1111100,20170112,1
112-Weekday-1-DEC16-1111100,20170113,1
112-Weekday-1-DEC16-1111100,20170116,1
112-Weekday-1-DEC16-1111100,20170117,1
112-Weekday-1-DEC16-1111100,20170118,1
112-Weekday-1-DEC16-1111100,20170119,1
112-Weekday-1-DEC16-1111100,20170120,1
112-Weekday-1-DEC16-1111100,20170123,1
112-Weekday-1-DEC16-1111100,20170124,1
112-Weekday-1-DEC16-1111100,20170125,1
112-Weekday-1-DEC16-1111100,20170126,1
112-Weekday-1-DEC16-1111100,20170127,1
112-Weekday-1-DEC16-1111100,20170130,1
112-Weekday-1-DEC16-1111100,20170131,1
112-Weekday-1-DEC16-1111100,20170201,1
112-Weekday-1-DEC16-1111100,20170202,1
112-Weekday-1-DEC16-1111100,20170203,1
112-Weekday-1-DEC16-1111100,20170206,1
112-Weekday-1-DEC16-1111100,20170207,1
112-Weekday-1-DEC16-1111100,20170208,1
112-Weekday-1-DEC16-1111100,20170209,1
112-Weekday-1-DEC16-1111100,20170210,1
113-Saturday-1-DEC16-0000010,20170114,1
113-Saturday-1-DEC16-0000010,20170121,1
113-Saturday-1-DEC16-0000010,20170128,1
113-Saturday-1-DEC16-0000010,20170204,1
113-Saturday-1-DEC16-0000010,20170211,1
113-Sunday-1-DEC16-0000001,20170115,1
113-Sunday-1-DEC16-0000001,20170122,1
113-Sunday-1-DEC16-0000001,20170129,1
113-Sunday-1-DEC16-0000001,20170205,1
113-Weekday-1-DEC16-1111100,20170111,1
113-Weekday-1-DEC16-1111100,20170112,1
113-Weekday-1-DEC16-1111100,20170113,1
113-Weekday-1-DEC16-1111100,20170116,1
113-Weekday-1-DEC16-1111100,20170117,1
113-Weekday-1-DEC16-1111100,20170118,1
113-Weekday-1-DEC16-1111100,20170119,1
113-Weekday-1-DEC16-1111100,20170120,1
113-Weekday-1-DEC16-1111100,20170123,1
113-Weekday-1-DEC16-1111100,20170124,1
113-Weekday-1-DEC16-1111100,20170125,1
113-Weekday-1-DEC16-1111100,20170126,1
113-Weekday-1-DEC16-1111100,20170127,1
113-Weekday-1-DEC16-1111100,20170130,1
113-Weekday-1-DEC16-1111100,20170131,1
113-Weekday-1-DEC16-1111100,20170201,1
113-Weekday-1-DEC16-1111100,20170202,1
113-Weekday-1-DEC16-1111100,20170203,1
113-Weekday-1-DEC16-1111100,20170206,1
113-Weekday-1-DEC16-1111100,20170207,1
113-Weekday-1-DEC16-1111100,20170208,1
113-Weekday-1-DEC16-1111100,20170209,1
113-Weekday-1-DEC16-1111100,20170210,1
114-Weekday-1-DEC16-1111100,20170111,1
114-Weekday-1-DEC16-1111100,20170112,1
114-Weekday-1-DEC16-1111100,20170113,1
114-Weekday-1-DEC16-1111100,20170116,1
114-Weekday-1-DEC16-1111100,20170117,1
114-Weekday-1-DEC16-1111100,20170118,1
114-Weekday-1-DEC16-1111100,20170119,1
114-Weekday-1-DEC16-1111100,20170120,1
114-Weekday-1-DEC16-1111100,20170123,1
114-Weekday-1-DEC16-1111100,20170124,1
114-Weekday-1-DEC16-1111100,20170125,1
114-Weekday-1-DEC16-1111100,20170126,1
114-Weekday-1-DEC16-1111100,20170127,1
114-Weekday-1-DEC16-1111100,20170130,1
